BIRIMNO;HH_TIP_HBA;KONUT_TIP;MULKIYET;KIRA_TUTAR;KIRA_SEKLI;FERTNO_LOJMAN;KIRA_IZAFI;KONUT_BORC;KONUT_PIYASA_DEGER;KONUT_SURE_YIL;KONUT_SURE_AY;BINA_YIL;ODA_SAYI;KONUT_ALAN;ZEMIN_SALON;ZEMIN_ODA;ZEMIN_MUTFAK;ZEMIN_BANYO;ISITMA_SISTEM;YAKIT_TUR_1;YAKIT_TUR_2;YAKIT_TUR_3;YAKIT_TUR_MUTFAK;YAKIT_TUR_SICAKSU;OLCEK_ALISVERIS;OLCEK_BANKACILIK;OLCEK_POSTA;OLCEK_ULASIM;OLCEK_SAGLIK_MERKEZI;OLCEK_ZORUNLU_EGITIM;KONUT_IKINCI;BANYO;SAUNA;JAKUZI;TUVALET;MUTFAK;COP_OGUTUCU;KALORIFER;TABAN_ISITMA;BORULU_SU_SISTEM;DOGALGAZ;SICAKSU;KABLO_YAYIN;ASANSOR;GARAJ;HAVUZ;JENERATOR;GUVENLIK_SISTEM;BALKON;BAHCE;COCUK_OYUN_ALAN;TELEFON_HAT_SAYI;CEP_TELEFON_SAYI;BILGISAYAR_SAYI;INTERNET_SAYI;PANEL_TV_SAYI;VIDEO_KAMERA_SAYI;UYDU_ANTEN_SAYI;BUZDOLABI_SAYI;DERIN_DONDURUCU_SAYI;BULASIK_MAKINE_SAYI;MIKRODALGA_FIRIN_SAYI;CAMASIR_MAKINE_SAYI;CAMASIR_KURUTMA_SAYI;HALI_YIKAMA_SAYI;KLIMA_SAYI;OYUN_KONSOL_SAYI;OTOMOBIL_SAYI;ISVEREN_ARAC_SAYI;MOTOSIKLET_SAYI;DENIZTASIT_SAYI;MUSKONUT_SAHIPLIGI;MUSKONUT_MIKTAR;MUSKONUT_KIRAYA_VERILEN;MUSKONUT_AYLIK_KIRA;APARTMAN_SAHIPLIGI;APARTMAN_MIKTAR;APARTMAN_KIRAYA_VERILEN;APARTMAN_AYLIK_KIRA;YAZLIK_SAHIPLIGI;YAZLIK_MIKTAR;YAZLIK_KIRAYA_VERILEN;YAZLIK_AYLIK_KIRA;TARLA_SAHIPLIGI;TARLA_MIKTAR;TARLA_KIRAYA_VERILEN;TARLA_AYLIK_KIRA;BAG_SAHIPLIGI;BAG_MIKTAR;BAG_KIRAYA_VERILEN;BAG_AYLIK_KIRA;SERA_SAHIPLIGI;SERA_MIKTAR;SERA_KIRAYA_VERILEN;SERA_AYLIK_KIRA;ARSA_SAHIPLIGI;ARSA_MIKTAR;ARSA_KIRAYA_VERILEN;ARSA_AYLIK_KIRA;DUKKAN_SAHIPLIGI;DUKKAN_MIKTAR;DUKKAN_KIRAYA_VERILEN;DUKKAN_AYLIK_KIRA;OTEL_SAHIPLIGI;OTEL_MIKTAR;OTEL_KIRAYA_VERILEN;OTEL_AYLIK_KIRA;ELEKTRIKLI_BISIKLET_SAYI;SIGARA_ALISKANLIK;ALKOL_ALISKANLIK;DISARIDA_YEMEK;GAZETE_ALISKANLIK;DERGI_ALISKANLIK;SINEMA_ALISKANLIK;UCRETLI_TV_ALISKANLIK;UCRETLI_SPOR_ALISKANLIK;SANS_OYUN_ALISKANLIK;KAHVEHANE_ALISKANLIK;OZEL_SIGORTA;KREDI_KARTI;PAZAR_ALISKANLIK;INTERNET_ALISVERIS_SIKLIK;TASARRUF_1;TASARRUF_2;TASARRUF_3;TASARRUF_4;YILKULGEL;EFB_OECD;HARCAMA;HHB;FAKTOR
1702173;5;1;1;;;;300;2;80000;26;;6;3;100;1;2;3;3;5;11;12;;4;6;2;2;2;2;2;2;2;1;2;2;1;1;2;2;2;1;2;1;2;2;2;2;2;2;1;2;2;0;4;0;0;1;0;1;1;0;1;0;1;0;0;0;0;1;0;0;0;1;1;0;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;0;1;2;2;2;2;2;2;2;2;2;2;1;1;90;90;;;;55382.32;4;3267.73;7;2248.4758885
1702174;4;3;2;720;2;;;;;3;;8;4;120;1;1;3;3;3;3;;;3;3;2;2;2;2;2;2;2;1;2;2;1;1;2;1;2;1;1;1;2;1;1;2;2;2;1;2;2;1;2;1;1;1;1;1;1;0;1;0;1;0;0;0;0;2;0;0;0;2;;;;1;1;0;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;0;2;2;2;2;2;1;1;2;2;2;1;1;2;11;5;;;;187935.64;1.5;3990.7;2;2774.2056815
1702175;4;1;1;;;;250;2;50000;30;;4;3;90;2;6;6;6;3;3;11;12;3;3;1;1;1;1;1;1;2;1;2;2;1;1;2;1;2;1;1;1;2;2;2;2;2;2;2;1;2;0;2;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;0;2;2;2;2;2;2;2;2;2;2;2;2;2;90;90;;;;17442.54;1.5;905.89;2;1490.6962500
1702176;5;3;1;;;;400;2;200000;10;;5;4;140;1;1;3;3;4;3;;;3;3;3;1;1;1;1;1;1;1;2;2;1;1;2;2;2;1;1;1;1;2;2;2;2;2;1;1;2;1;3;1;1;0;0;1;1;1;1;0;1;0;0;0;0;1;1;0;0;2;;;;1;3;2;400;1;1;0;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;0;2;2;1;2;2;1;2;2;2;2;2;2;2;90;90;;;;46905.18;2.8;2171.06;5;902.86730600
1702177;3;1;4;;;;350;;;16;;4;3;80;1;2;1;3;5;11;12;;3;3;2;2;2;2;2;2;2;1;2;2;1;1;2;2;2;1;1;1;2;2;1;2;2;2;1;1;2;0;3;1;1;1;0;1;1;1;0;0;1;0;0;0;0;1;0;0;0;2;;;;2;;;;2;;;;2;;;;1;1;0;;2;;;;2;;;;2;;;;2;;;;0;1;2;2;2;2;2;2;2;2;2;2;1;1;90;90;;;;31812.03;2.9;2474.88;6;2248.3957501
1702178;3;3;4;;;;500;;;9;;8;4;140;1;1;3;3;2;3;;;3;3;2;2;2;2;2;2;2;1;2;2;1;1;2;1;2;1;1;1;2;2;2;2;2;2;1;2;2;0;2;0;0;2;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;0;1;2;2;2;2;2;2;2;2;2;2;1;1;90;90;;;;22244.83;2.4;1962.91;5;2072.0007265
1702179;6;3;1;;;;300;2;70000;45;;4;3;100;1;1;3;3;3;3;;;3;3;1;1;1;1;1;1;2;1;2;2;1;1;2;1;2;1;1;1;2;2;2;2;2;2;1;2;2;0;1;0;1;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;2;;;;1;1;0;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;0;2;2;2;2;2;2;2;2;2;2;2;2;2;90;90;;;;16649.56;1;1430.34;1;2946.4062642
1702181;4;4;1;;;;700;2;200000;17;;6;4;105;2;2;3;3;3;3;;;3;3;2;2;2;2;2;2;2;1;2;2;1;1;2;1;2;1;1;1;2;1;1;2;2;2;1;2;2;0;2;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;2;;;;1;1;0;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;0;2;2;2;2;2;2;2;2;2;2;2;2;1;90;90;;;;26169.85;1.5;2399.15;2;1402.8357367
1702182;1;4;4;;;;700;;;18;;6;4;120;2;2;3;3;3;3;;;3;3;2;2;2;2;2;2;2;1;2;2;1;1;2;1;2;1;1;1;2;1;2;2;2;2;1;2;2;0;3;0;0;0;0;1;1;1;1;0;1;0;0;0;0;1;0;0;0;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;1;1;1;833;2;;;;0;1;2;2;2;2;2;2;2;2;2;2;2;2;90;98;;;;44674.69;2;1904.46;3;1812.6924158
1702183;4;4;1;;;;750;2;200000;22;;4;3;120;1;1;3;3;3;3;;;3;3;2;2;2;2;2;2;1;1;2;2;1;1;2;1;2;1;1;1;2;1;2;2;2;2;1;2;2;0;2;0;0;1;0;1;1;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;;1;1;0;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;0;2;2;2;2;2;2;2;2;2;2;2;2;2;90;90;;;;37568.19;1.5;2156.82;2;1402.8357367
1702184;1;4;4;;;;800;;;8;;7;4;115;1;1;3;3;3;3;;;3;3;1;1;1;1;1;1;2;1;2;2;1;1;2;1;2;1;1;1;2;1;2;2;2;2;1;2;2;1;2;1;1;1;0;1;1;1;1;0;1;0;0;0;0;2;0;0;0;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;0;2;2;1;2;2;2;2;2;2;2;2;1;2;90;90;;;;57738.13;1.8;2598.7;3;1904.4368797
1702185;1;3;1;;;;450;1;100000;10;;8;4;145;1;1;3;3;2;11;12;;4;6;2;2;2;2;2;2;2;1;2;2;1;1;2;1;2;1;2;1;2;2;2;2;2;2;1;1;1;1;3;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;2;;;;1;3;0;;2;;;;2;;;;1;6;0;;2;;;;2;;;;2;;;;2;;;;0;1;1;1;2;2;2;2;2;2;1;1;2;1;90;90;;;;98763.26;2;7922.71;3;1151.7702667
1702186;1;1;1;;;;350;2;160000;27;;5;4;105;1;1;2;3;2;12;11;;4;5;3;3;3;1;2;2;2;1;2;2;1;1;2;1;2;1;2;1;2;2;2;2;2;2;1;1;1;0;3;0;0;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;;1;1;1;400;2;;;;2;;;;1;1;0;;2;;;;2;;;;2;;;;2;;;;0;1;1;2;2;2;2;2;2;2;1;2;2;1;90;90;;;;32326.08;2;3887.05;3;1256.0279778
1702188;5;1;1;;;;200;2;90000;16;;7;6;150;1;1;3;3;5;11;;12;4;6;2;2;2;2;2;2;2;1;2;2;1;1;2;2;2;1;2;1;2;2;1;2;2;2;1;1;1;0;4;1;1;0;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;1;1;0;;2;;;;2;;;;2;;;;1;1;0;;2;;;;2;;;;2;;;;2;;;;0;1;2;1;2;2;1;2;2;2;2;1;1;1;11;98;;;;44408.54;2.8;4300.61;5;1357.0318004
1702190;1;1;4;;;;400;;;19;;5;6;140;4;4;3;3;5;11;12;;4;5;2;2;2;2;2;2;1;1;2;2;1;1;2;2;2;1;2;1;2;2;1;2;2;2;1;1;1;0;3;2;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;2;;;;2;;;;1;1;0;;2;;;;1;1;0;;2;;;;2;;;;2;;;;2;;;;0;1;2;2;2;2;2;2;2;2;1;2;2;1;90;98;;;;29916.48;2;6058.26;3;1353.6933554
