BIRIMNO,HH_TIP_HBA,KONUT_TIP,MULKIYET,KIRA_TUTAR,KIRA_SEKLI,FERTNO_LOJMAN,KIRA_IZAFI,KONUT_BORC,KONUT_PIYASA_DEGER,KONUT_SURE_YIL,KONUT_SURE_AY,BINA_YIL,ODA_SAYI,KONUT_ALAN,ZEMIN_SALON,ZEMIN_ODA,ZEMIN_MUTFAK,ZEMIN_BANYO,ISITMA_SISTEM,YAKIT_TUR_1,YAKIT_TUR_2,YAKIT_TUR_3,YAKIT_TUR_MUTFAK,YAKIT_TUR_SICAKSU,OLCEK_ALISVERIS,OLCEK_BANKACILIK,OLCEK_POSTA,OLCEK_ULASIM,OLCEK_SAGLIK_MERKEZI,OLCEK_ZORUNLU_EGITIM,KONUT_IKINCI,BANYO,SAUNA,JAKUZI,TUVALET,MUTFAK,COP_OGUTUCU,KALORIFER,TABAN_ISITMA,BORULU_SU_SISTEM,DOGALGAZ,SICAKSU,KABLO_YAYIN,ASANSOR,GARAJ,HAVUZ,JENERATOR,GUVENLIK_SISTEM,BALKON,BAHCE,COCUK_OYUN_ALAN,TELEFON_HAT_SAYI,CEP_TELEFON_SAYI,BILGISAYAR_SAYI,INTERNET_SAYI,PANEL_TV_SAYI,VIDEO_KAMERA_SAYI,UYDU_ANTEN_SAYI,BUZDOLABI_SAYI,DERIN_DONDURUCU_SAYI,BULASIK_MAKINE_SAYI,MIKRODALGA_FIRIN_SAYI,CAMASIR_MAKINE_SAYI,CAMASIR_KURUTMA_SAYI,HALI_YIKAMA_SAYI,KLIMA_SAYI,OYUN_KONSOL_SAYI,OTOMOBIL_SAYI,ISVEREN_ARAC_SAYI,MOTOSIKLET_SAYI,DENIZTASIT_SAYI,MUSKONUT_SAHIPLIGI,MUSKONUT_MIKTAR,MUSKONUT_KIRAYA_VERILEN,MUSKONUT_AYLIK_KIRA,APARTMAN_SAHIPLIGI,APARTMAN_MIKTAR,APARTMAN_KIRAYA_VERILEN,APARTMAN_AYLIK_KIRA,YAZLIK_SAHIPLIGI,YAZLIK_MIKTAR,YAZLIK_KIRAYA_VERILEN,YAZLIK_AYLIK_KIRA,TARLA_SAHIPLIGI,TARLA_MIKTAR,TARLA_KIRAYA_VERILEN,TARLA_AYLIK_KIRA,BAG_SAHIPLIGI,BAG_MIKTAR,BAG_KIRAYA_VERILEN,BAG_AYLIK_KIRA,SERA_SAHIPLIGI,SERA_MIKTAR,SERA_KIRAYA_VERILEN,SERA_AYLIK_KIRA,ARSA_SAHIPLIGI,ARSA_MIKTAR,ARSA_KIRAYA_VERILEN,ARSA_AYLIK_KIRA,DUKKAN_SAHIPLIGI,DUKKAN_MIKTAR,DUKKAN_KIRAYA_VERILEN,DUKKAN_AYLIK_KIRA,OTEL_SAHIPLIGI,OTEL_MIKTAR,OTEL_KIRAYA_VERILEN,OTEL_AYLIK_KIRA,ELEKTRIKLI_BISIKLET_SAYI,SIGARA_ALISKANLIK,ALKOL_ALISKANLIK,DISARIDA_YEMEK,GAZETE_ALISKANLIK,DERGI_ALISKANLIK,SINEMA_ALISKANLIK,UCRETLI_TV_ALISKANLIK,UCRETLI_SPOR_ALISKANLIK,SANS_OYUN_ALISKANLIK,KAHVEHANE_ALISKANLIK,OZEL_SIGORTA,KREDI_KARTI,PAZAR_ALISKANLIK,INTERNET_ALISVERIS_SIKLIK,TASARRUF_1,TASARRUF_2,TASARRUF_3,TASARRUF_4,YILKULGEL,EFB_OECD,HARCAMA,HHB,FAKTOR
1900022,1,11,1,,,,200,2,110000,4,,8,3,110,6,6,6,6,2,1111,111211,,1316,1512,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,1,2,2,2,1,1,2,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,,2,,,,2,,,,1,20,0,,1,8,0,,2,,,,2,,,,1,1,0,,2,,,,0,2,2,2,2,2,2,2,2,2,2,2,2,2,90,90,,,,31062.05,1,3224.85,1,298.14774195
1900023,22,11,1,,,,300,2,150000,11,,7,4,140,3,3,3,3,2,1111,111211,,1316,1512,2,4,4,2,4,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,0,2,0,2,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,,2,,,,2,,,,1,25,0,,2,,,,2,,,,2,,,,1,1,0,,2,,,,0,1,2,2,2,2,2,2,2,2,1,2,1,2,90,90,,,,28441.21,2.7,2842.37,6,299.09862492
1900024,22,121,4,,,,300,,,15,,7,2,70,3,3,3,3,31,14,,,1316,1512,3,4,4,2,4,2,2,1,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,0,2,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,2,2,1,2,2,2,2,2,2,1,1,1,1,90,8,9,,,37464.36,2,2717.03,3,297.91230260
1900025,22,11,1,,,,750,2,250000,20,,6,4,120,1,1,3,3,11,1311,,,1311,1311,2,2,2,2,2,2,1,1,2,2,1,1,2,1,2,1,1,1,2,2,1,2,2,2,1,1,2,0,3,1,4,1,0,2,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,,2,,,,1,1,0,,2,,,,2,,,,2,,,,2,,,,1,1,0,,2,,,,0,2,2,1,2,2,2,2,2,2,1,2,1,1,90,5,,,,80663.16,2,6562.48,3,1465.35056041
1900026,22,122,1,,,,1000,2,300000,18,,6,4,145,1,3,3,3,32,14,,,1316,1512,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,0,4,0,4,1,0,1,1,1,1,0,1,0,0,2,0,0,0,0,0,1,2,0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,1,2,2,2,2,2,1,1,2,1,1,11,90,,,,124022.96,2.5,7433.75,4,1924.51034777
1900027,3,132,2,500,2,,,,,1,,8,4,120,1,1,3,3,11,1311,,,1311,1311,2,2,2,2,2,2,2,1,2,2,1,1,2,1,2,1,1,1,2,1,2,2,2,1,1,1,2,0,5,2,4,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,2,,,,1,1,1,600,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,2,2,1,2,2,2,2,1,2,2,2,1,1,90,1,,,,60120.32,3,5749.17,5,1840.72995379
1900028,22,122,1,,,,500,2,200000,20,,6,3,98,3,3,3,3,2,1111,,,1316,1512,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,1,3,1,4,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,2,1,300,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,1,2,2,2,2,2,2,2,2,1,1,90,90,,,,35257.55,2,4055.34,3,1334.68159808
1900029,22,122,1,,,,800,2,300000,5,,8,5,200,3,3,3,3,11,1311,,,1311,1311,2,2,2,2,2,2,2,1,2,2,1,1,2,1,2,1,1,1,2,2,2,2,2,2,1,1,2,1,3,1,3,1,0,1,2,0,1,1,1,0,0,1,0,0,1,0,0,1,2,0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,2,2,1,2,2,1,2,2,2,2,1,1,1,90,8,,,,59534.85,2.1,5519.29,4,1708.34879375
1900030,22,11,1,,,,850,1,380000,0,4,6,4,143,3,3,3,3,2,1111,111211,,1316,1512,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,0,4,1,5,1,0,1,1,0,1,0,1,0,0,2,0,0,0,1,0,1,1,0,,1,1,0,,2,,,,1,15,0,,1,4,0,,2,,,,2,,,,2,,,,2,,,,0,1,2,1,2,2,1,2,2,2,2,2,1,1,90,9,1,,,249477.65,2.5,2861.49,4,1619.01251775
1900031,21,11,1,,,,420,2,100000,18,,6,4,90,3,3,3,3,11,1311,,,1311,1311,2,2,2,2,2,2,2,1,2,2,1,1,2,1,2,1,1,1,2,2,2,2,2,2,1,1,2,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,2,2,1,2,2,2,2,2,2,2,2,2,1,90,9,,,,46122.66,1.5,2314.57,2,1411.50673639
