BULTEN;HHTIPI;KONUTTIP;MULKIYET;KIRA_AY;KIRA_SEK;LOJ_FERT;IZAFI_K;KONUTSAH;KON_BORC;KONDEGER;OTUR_SUR;BINA_TAR;ODA_SAY;KON_ALAN;zemin_SAL;zemin_ODA;zemin_MUT;zemin_BAN;ISIT_SIS;YAKIT_1;YAKIT_2;YAKIT_3;YAKIT_MUT;YAKIT_SU;zor_alýs;zor_banka;zor_posta;zor_ulas;zor_saglý;zor_egiti;konutiki;konut2_n;BANYO;SAUNA;JAKUZI;TUVALET;MUTFAK;COPOGUT;KALORIF;TABANISI;SU_SIS;DOG_GAZ;SICAKSU;KABLOYAY;ASANSOR;GARAJ;HAVUZ;JENRATOR;TELEFON;CEPTEL;BILGISAY;INTERN;LCDTELE;KAMERA;UYDUANT;BUZDOLAB;DERINDON;BULASIK;M_FIRIN;CAMASIR;KURUTMA;HALIYIKA;KLIMA;OYUNKONS;OTOADET;OTOADET2;OTOADET3;ISOTOADT;MOTOADET;DENTADET;MUSKONUT;MUSMIK;MUSKIRA;MUSKDEG;APARTMAN;APTMIK;APTKIRA;APTKDEG;YAZLIK;YAZMIK;YAZKIRA;YAZKDEG;TARLA;TARMIK;TARKIRA;TARKDEG;BAG;BAGMIK;BAGKIRA;BAGKDEG;SERA;SERAMIK;SERAKIRA;SERAKDEG;ARSA;ARSAMIK;ARSAKIRA;ARSAKDEG;DUKKAN;DUKMIK;DUKKIRA;DUKKDEG;OTEL;OTELMIK;OTELKIRA;OTELKDEG;YILKULGEL;EFB_OECD;HARCAMA;HHB;faktor
1400029;5;1;2;170;2;;;;;;15;6;3;70;6;6;6;6;1;2;1;;4;5;4;4;4;4;4;4;2;;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;3;1;1;1;0;1;1;0;1;0;1;0;0;1;0;0;;;0;0;0;0;;;;0;;;;0;;;;1;4;0;;0;;;;0;;;;0;;;;0;;;;0;;;;68767,74;3,5;3027,15;6;3614,396253
1400030;5;1;1;;;;190;1964;2;70000;50;3;4;130;6;6;6;3;1;4;1;;4;7;4;4;4;4;4;4;2;;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;;;0;0;0;1;2;0;;0;;;;0;;;;1;100;0;;1;10;0;;0;;;;1;15;0;;0;;;;0;;;;22914,08;2,6;1693,17;5;1857,010827
1400031;1;1;2;333;2;;;;;;14;5;4;110;3;3;3;3;1;2;1;;4;7;3;3;3;3;3;3;2;;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;3;0;0;0;0;1;1;0;1;0;1;0;0;2;0;0;;;0;0;0;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;15585,43;1,8;1631,09;3;1908,024999
1400032;4;1;1;;;;350;1976;2;60000;37;4;3;120;3;3;3;3;1;1;;;4;7;2;2;2;2;3;3;1;2;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;;;0;0;0;1;2;1;200;0;;;;1;1;0;;1;300;0;;0;;;;0;;;;0;;;;0;;;;0;;;;18238,67;1,5;961,08;2;1653,713513
1400033;1;1;2;250;2;;;;;;0;4;3;100;;3;3;3;1;1;;;4;5;3;3;3;3;3;3;2;;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;2;1;1;1;0;1;1;1;1;0;1;0;0;0;0;0;;;0;0;0;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;19987,72;1,8;1835,73;3;1551,121126
1400034;3;1;1;;;;250;1973;2;60000;40;4;4;125;6;6;6;;1;1;;;4;7;2;2;2;2;2;2;2;;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;3;1;1;0;0;1;1;0;0;0;1;0;0;1;0;0;;;0;1;0;1;1;0;;0;;;;0;;;;0;;;;0;;;;0;;;;1;364;0;;0;;;;0;;;;37708,12;3;3795,79;5;2444,265427
1400035;4;1;1;;;;250;1963;2;70000;50;3;3;100;6;6;6;;1;1;;;4;7;2;2;2;2;2;2;2;;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;;;0;0;0;1;2;0;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;13209,85;1,5;1156,74;2;1653,713513
1400036;2;1;1;;;;350;2013;2;80000;22;3;3;100;3;3;3;3;1;1;;;4;7;3;3;3;3;3;3;2;;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;4;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;;;0;0;0;1;1;0;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;20572,2;2,5;1985,33;4;2213,307223
1400037;3;1;1;;;;250;1994;2;40000;20;5;4;100;3;3;3;3;1;6;;;4;7;3;3;3;3;3;3;2;;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;4;1;1;1;0;1;2;0;1;0;1;0;0;2;0;0;;;0;0;0;1;3;2;400;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;40540,08;3,3;2128,67;6;2295,203416
1400038;1;1;1;;;;200;1973;2;30000;41;4;2;60;6;6;6;6;1;1;2;;4;7;3;3;3;3;3;3;2;;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;;;0;0;0;1;1;0;;0;;;;0;;;;1;3;0;;0;;;;0;;;;0;;;;0;;;;0;;;;8048,91;2;650,7;3;939,5098517
