2'li Ana grup kodu;HBS_KOD5;tŸr;Grup adÝ
1;1173;GIDA;KURUTULMUÞ SEBZELER, DÜÚER KORUNMUÞ VEYA ÜÞLENMÜÞ SEBZELER
1;1174;GIDA;PATATES
1;1175;GIDA;CÜPS
1;1176;GIDA;DÜÚER YUMRU K…KL† SEBZELER VE BUNLARDAN YAPILAN †R†NLER
1;1181;GIDA;ÞEKER
1;1182;GIDA;RE‚EL, MARMELAT VE BAL
1;1183;GIDA;‚ÜKOLATA
1;1184;GIDA;ÞEKERLEME †R†NLERÜ
1;1185;GIDA;YENÜLEBÜLÜR BUZ VE DONDURMA
1;1186;GIDA;YAPAY TATLANDIRICILAR
1;1191;GIDA;SOSLAR, ‚EÞNÜLER (LEZZET VERÜCÜLER)
1;1192;GIDA;TUZ, BAHARAT VE YEMEKLERE TAT VERMEK Ü‚ÜN KULLANILAN BÜTKÜLER
1;1193;GIDA;BEBEK MAMALARI
1;1194;GIDA;HAZIR YEMEKLER
1;1199;GIDA;BAÞKA YERDE SINIFLANDIRILMAMIÞ DÜÚER GIDA †R†NLERÜ
1;1211;GIDA;KAHVE
1;1212;GIDA;‚AY
1;1213;GIDA;KAKAO VE ‚ÜKOLATA TOZU
1;1221;GIDA;MADEN VEYA KAYNAK SULARI
1;1222;GIDA;ALKOLS†Z Ü‚ECEKLER
1;1223;GIDA;MEYVE VE SEBZE SULARI (Ü‚MEK Ü‚ÜN KULLANILANLAR)
2;2111;GIDA;Ü‚KÜLER VE LÜK…RLER
2;2112;GIDA;HAFÜF ALKOLL† Ü‚ECEKLER
2;2121;GIDA;ÞARAP, †Z†MDEN
2;2122;GIDA;ÞARAP, DÜÚER MEYVELERDEN
2;2123;GIDA;‚EREZ ÞARAPLAR
2;2124;GIDA;ÞARAP BAZLI Ü‚ECEKLER
2;2131;GIDA;LAGER BÜRALAR
2;2132;GIDA;DÜÚER ALKOLL† BÜRALAR
2;2133;GIDA;D†Þ†K ALKOLL† VEYA ALKOLS†Z BÜRALAR
2;2134;GIDA;BÜRA ESASLI Ü‚ECEKLER
2;2201;GIDA;SÜGARA
2;2202;GIDA;PURO
2;2203;GIDA;DÜÚER T†T†N †R†NLERÜ
2;2300;GIDA;UYUÞTURUCU (NARKOTÜK) MADDELER
3;3110;DÜÚER;GÜYÜM MALZEMELERÜ
3;3121;DÜÚER;ERKEK GÜYSÜLERÜ
3;3122;DÜÚER;KADIN GÜYSÜLERÜ
3;3123;DÜÚER;BEBEK (0-2 YAÞ ARASI) VE ‚OCUK (3 -13 YAÞ ARASI) GÜYSÜLERÜ
3;3131;DÜÚER;DÜÚER GÜYÜM EÞYALARI
3;3132;DÜÚER;GÜYÜM AKSESUARLARI
3;3141;DÜÚER;GÜYÜM EÞYALARININ TEMÜZLENMESÜ
3;3142;DÜÚER;GÜYÜM EÞYALARININ TADÜLATI, ONARIMI VE KÜRALANMASI
3;3211;DÜÚER;ERKEK AYAKKABILARI
3;3212;DÜÚER;KADIN AYAKKABILARI
