2'li Ana grup kodu;HBS_KOD5;tr;Grup ad
7;7350;D˜¦ER;B˜LEž˜K YOLCU TAžIMACILI¦I
7;7361;D˜¦ER;KABLOLU DEM˜R YOLU, TELEFER˜K VE TELES˜YEJ TAžIMALARI
7;7362;D˜¦ER;NAKL˜YAT VE DEPOLAMA H˜ZMETLER˜
7;7369;D˜¦ER;BAžKA YERDE SINIFLANDIRILMAMIž D˜¦ER SATIN ALINMIž ULAžTIRMA H˜ZMETLER˜
8;8101;D˜¦ER;MEKTUP DA¦ITIM H˜ZMETLER˜
8;8109;D˜¦ER;D˜¦ER POSTA H˜ZMETLER˜
8;8201;D˜¦ER;SAB˜T TELEFON EK˜PMANLARI
8;8202;D˜¦ER;MOB˜L TELEFON EK˜PMANLARI
8;8203;D˜¦ER;D˜¦ER TELEFON EK˜PMANLARI VE TELEFAKS EK˜PMANLARI
8;8204;D˜¦ER;TELEFON VEYA TELEFAKS EK˜PMANLARININ TAM˜R˜
8;8301;D˜¦ER;KABLOLU TELEFON H˜ZMETLER˜
8;8302;D˜¦ER;KABLOSUZ TELEFON H˜ZMETLER˜
8;8303;D˜¦ER;˜NTERNET ER˜ž˜M˜ SA¦LAMA H˜ZMETLER˜
8;8304;D˜¦ER;DONANIMLI TELEKOMšN˜KASYON H˜ZMETLER˜
8;8305;D˜¦ER;D˜¦ER B˜LG˜ DA¦ITIM H˜ZMETLER˜
9;9111;D˜¦ER;SES ALMA, KAYIT ETME VE SES KOPYALAMA ˜LE ˜LG˜L˜ EK˜PMANLAR
9;9112;D˜¦ER;SES VE G™RšNTš ALMA, KAYIT ETME, KOPYALAMA ˜LE ˜LG˜L˜ EK˜PMANLAR
9;9113;D˜¦ER;TAžINAB˜L˜R SES VE G™RšNTš C˜HAZLARI
9;9119;D˜¦ER;SES VE RES˜M ALMA, KAYIT ETME, KOPYALAMA ˜LE ˜LG˜L˜ D˜¦ER EK˜PMANLAR
9;9121;D˜¦ER;KAMERALAR
9;9122;D˜¦ER;FOTO¦RAF VE S˜NEMA EK˜PMANLARININ AKSESUARLARI
9;9123;D˜¦ER;OPT˜K ALETLER
9;9131;D˜¦ER;K˜ž˜SEL B˜LG˜SAYARLAR
9;9132;D˜¦ER;B˜LG˜ ˜žLEME EK˜PMANLARININ AKSESUARLARI
9;9133;D˜¦ER;YAZILIM
9;9134;D˜¦ER;HESAP MAK˜NELER˜ VE D˜¦ER B˜LG˜ ˜žLEME EK˜PMANLARI
9;9141;D˜¦ER;™NCEDEN KAYDED˜LM˜ž (DOLU) KAYIT ORTAMLARI (KASETLER, D˜SKLER VE D˜SKETLER)
9;9142;D˜¦ER;KAYDED˜LMEM˜ž (BOž) KAYIT ORTAMLARI (KASETLER, D˜SKLER VE D˜SKETLER)
9;9149;D˜¦ER;D˜¦ER KAYIT ORTAMLARI
9;9150;D˜¦ER;G™RSEL-˜ž˜TSEL (AUD˜O-V˜SUAL), FOTO¦RAF˜K EK˜PMANLARIN VE B˜LG˜ ˜žLEME EK˜PMANLARININ TAM˜R˜
9;9211;D˜¦ER;KAMP ARACI, KARAVAN VE TREYLER
9;9212;D˜¦ER;U€AK, Kš€šK T˜P U€AK, PLAN™R, ASMALI PLAN™R VE SICAK HAVA BALONU
9;9213;D˜¦ER;BOT, Kš€šK BOTLARIN ARKASINA TAKILAN MOTORLAR VE BOTLARIN TE€H˜ZATLARI
9;9214;D˜¦ER;ATLAR, M˜D˜LL˜LER VE AKSESUARLARI
9;9215;D˜¦ER;OYUN VE SPORLAR ˜€˜N TEMEL MALZEMELER
9;9221;D˜¦ER;MšZ˜K ENSTRšMANLARI
9;9222;D˜¦ER;KAPALI ALANLARDA KULLANILAN TEMEL DAYANIKLI E¦LENCE ARA€LARI
9;9230;D˜¦ER;D˜¦ER TEMEL DAYANIKLI E¦LENCE VE KšLTšR ARA€LARININ BAKIM VE ONARIMI
9;9311;D˜¦ER;OYUNLAR VE HOB˜LER
9;9312;D˜¦ER;OYUNCAKLAR VE KUTLAMA MALZEMELER˜
9;9321;D˜¦ER;SPOR EK˜PMANLARI
9;9322;D˜¦ER;KAMP VE A€IK HAVA E¦LENCE EK˜PMANLARI
9;9323;D˜¦ER;SPOR, KAMP VE A€IK HAVA E¦LENCE EK˜PMANLARININ ONARIMI
9;9331;D˜¦ER;BAH€E šRšNLER˜
9;9332;D˜¦ER;B˜TK˜LER VE €˜€EKLER
9;9341;D˜¦ER;EV HAYVANLARININ SATIN ALINMASI
9;9342;D˜¦ER;EV HAYVANLARI ˜€˜N šRšNLER
9;9350;D˜¦ER;EV HAYVANLARI ˜€˜N VETER˜NERL˜K VE D˜¦ER H˜ZMETLER
9;9411;D˜¦ER;E¦LENCE VE SPOR YERLER˜NE G˜TME (G˜R˜ž šCRET˜)
9;9412;D˜¦ER;E¦LENCE VE SPOR AMA€LI FAAL˜YETLERE KATILIM
9;9421;D˜¦ER;S˜NEMALAR, T˜YATROLAR, KONSERLER
9;9422;D˜¦ER;MšZELER, KšTšPHANELER, HAYVANAT BAH€ELER˜
9;9423;D˜¦ER;TELEV˜ZYON VE RADYO L˜SANS šCRETLER˜, ABONEL˜KLER
9;9424;D˜¦ER;KšLTšREL TE€H˜ZAT VE AKSESUARLARIN K˜RALANMASI
